,Unnamed: 0,iata_code,name,coordinates,iso_region,average_wait,max_wait,min_wait,obs_count
738,26812,FMS,Fort Madison Municipal Airport,"-91.3267974854, 40.659301757799994",US-IA,na,na,na,na
739,26814,FTK,Godman Army Air Field,"-85.9720993042, 37.907100677500004",US-KY,na,na,na,na
740,26816,FTW,Fort Worth Meacham International Airport,"-97.362396, 32.819801",US-TX,na,na,na,na
741,26817,FTY,Fulton County Airport Brown Field,"-84.5214004517, 33.7790985107",US-GA,na,na,na,na
742,26818,FUL,Fullerton Municipal Airport,"-117.980003357, 33.8720016479",US-CA,na,na,na,na
743,26819,WFK,Northern Aroostook Regional Airport,"-68.31279754639999, 47.2854995728",US-ME,na,na,na,na
744,26821,FWA,Fort Wayne International Airport,"-85.19509888, 40.97850037",US-IN,1,1,1,1
745,26826,FXE,Fort Lauderdale Executive Airport,"-80.1707000732, 26.1972999573",US-FL,na,na,na,na
746,26827,FXY,Forest City Municipal Airport,"-93.62409973, 43.23469925",US-IA,na,na,na,na
747,26830,FYM,Fayetteville Municipal Airport,"-86.5640029907, 35.059700012200004",US-TN,na,na,na,na
748,26831,FYV,Drake Field,"-94.17009735107422, 36.00510025024414",US-AR,na,na,na,na
749,26878,GAD,Northeast Alabama Regional Airport,"-86.088996, 33.972599",US-AL,na,na,na,na
750,26880,GAG,Gage Airport,"-99.7763977051, 36.295501709",US-OK,na,na,na,na
751,26881,GAI,Montgomery County Airpark,"-77.1660003662, 39.168300628699996",US-MD,na,na,na,na
752,26884,GBD,Great Bend Municipal Airport,"-98.8591995239, 38.3442993164",US-KS,na,na,na,0
753,26885,GBG,Galesburg Municipal Airport,"-90.431098938, 40.937999725299996",US-IL,na,na,na,na
754,26887,GBR,Walter J. Koladza Airport,"-73.40319824, 42.18420029",US-MA,na,na,na,na
755,26888,GCC,Gillette Campbell County Airport,"-105.539001465, 44.348899841299996",US-WY,na,na,na,0
756,26889,JDA,Grant Co Regional/Ogilvie Field,"-118.9629974, 44.40420151",US-OR,na,na,na,na
757,26890,GCK,Garden City Regional Airport,"-100.723999023, 37.9275016785",US-KS,na,na,na,0
758,26892,GCN,Grand Canyon National Park Airport,"-112.14700317382812, 35.95240020751953",US-AZ,na,na,na,0
759,26894,GCY,Greeneville-Greene County Municipal Airport,"-82.81510162, 36.19300079",US-TN,na,na,na,na
760,26897,GDM,Gardner Municipal Airport,"-72.0160980225, 42.5499992371",US-MA,na,na,na,na
761,26898,GDV,Dawson Community Airport,"-104.8069992, 47.13869858",US-MT,na,na,na,0
762,26899,GDW,Gladwin Zettel Memorial Airport,"-84.47499847410002, 43.9706001282",US-MI,na,na,na,na
763,26900,GED,Sussex County Airport,"-75.35890198, 38.68920135",US-DE,na,na,na,na
764,26901,GEG,Spokane International Airport,"-117.53399658203125, 47.61989974975586",US-WA,2.2,5,1,5
765,26905,GEY,South Big Horn County Airport,"-108.0830002, 44.51679993",US-WY,na,na,na,na
766,26907,GFA,Malmstrom Air Force Base,"-111.18699646, 47.504699707",US-MT,na,na,na,na
767,26908,GFK,Grand Forks International Airport,"-97.176102, 47.949299",US-ND,na,na,na,0
768,26909,GFL,Floyd Bennett Memorial Airport,"-73.6102981567, 43.3412017822",US-NY,na,na,na,na
769,26911,GGE,Georgetown County Airport,"-79.3196029663, 33.3116989136",US-SC,na,na,na,na
770,26913,GGG,East Texas Regional Airport,"-94.71150207519531, 32.38399887084961",US-TX,na,na,na,0
771,26916,GGW,Wokal Field Glasgow International Airport,"-106.614998, 48.212502",US-MT,na,na,na,0
772,26918,GHM,Centerville Municipal Airport,"-87.44539642330001, 35.8373985291",US-TN,na,na,na,na
773,26920,GIF,Winter Haven Municipal Airport - Gilbert Field,"-81.75330353, 28.06290054",US-FL,na,na,na,na
774,26921,GJT,Grand Junction Regional Airport,"-108.527000427, 39.1223983765",US-CO,1,1,1,1
775,26922,MEJ,Port Meadville Airport,"-80.21469879, 41.62649918",US-PA,na,na,na,na
776,26923,GKT,Gatlinburg-Pigeon Forge Airport,"-83.52870178219999, 35.85779953",US-TN,na,na,na,na
777,26925,GLD,Renner Field-Goodland Municipal Airport,"-101.6989975, 39.37060165",US-KS,na,na,na,na
778,26926,GLE,Gainesville Municipal Airport,"-97.1969985962, 33.651401519800004",US-TX,na,na,na,na
779,26927,GLH,Mid Delta Regional Airport,"-90.98560333251953, 33.4828987121582",US-MS,na,na,na,0
780,26928,GLR,Gaylord Regional Airport,"-84.7035980225, 45.013500213600004",US-MI,na,na,na,na
781,26929,GLS,Scholes International At Galveston Airport,"-94.86039733886719, 29.265300750732422",US-TX,na,na,na,na
782,26930,GLW,Glasgow Municipal Airport,"-85.9536972, 37.03179932",US-KY,na,na,na,na
783,26933,GMU,Greenville Downtown Airport,"-82.34999847410002, 34.847900390599996",US-SC,na,na,na,na
784,26937,GNG,Gooding Municipal Airport,"-114.7649994, 42.91719818",US-ID,na,na,na,na
785,26938,GNT,Grants-Milan Municipal Airport,"-107.902000427, 35.167301178",US-NM,na,na,na,na
